"","BUP04","BUP05","BUP06","CLP25","DGP17","DGP18","DGP19","DGP20","EIP02","EIP03","EIP22","EIP23","EIP24","FIP27","FIP28","FIP29","LAP21","XXP26"
"atrichum undulatum",0,0,500,0,100,0,100,0,0,100,500,500,100,0,100,4000,0,0
"brachythecium rutabulum",1000,500,2000,1000,100,0,100,0,1000,1000,1000,1000,1000,3000,2000,1000,0,1000
"bryum capillare",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"ceratodon purpureus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
"dicranella heteromalla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"dicranum scoparium",100,0,100,1000,100,0,100,500,100,100,100,0,100,100,0,0,100,0
"ditrichum heteromalla cf",0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"eurhynchium praelongum",0,100,500,0,500,0,0,100,0,0,0,0,0,0,100,0,0,1000
"eurhynchium striatum",0,0,0,1000,1000,100,1000,1000,0,0,0,0,0,1000,0,0,0,1000
"frullania dilatata",100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"herzogiella seligeri",0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0
"hylocomium splendens",0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hypnum cupressiforme",3000,2000,2000,1000,2000,3000,3000,3000,3000,1000,2000,2000,3000,2000,500,1000,2000,1000
"isothecium myosuroides",0,0,0,0,0,0,0,0,100,1000,0,1000,0,0,0,0,0,0
"metzgeria furcata",0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
"metzgeria simplex",100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mnium hornum",500,0,100,0,0,0,0,0,500,0,100,0,0,0,0,0,0,0
"ortho dicranum montanum",500,0,0,0,100,0,0,500,100,0,100,0,100,100,0,0,0,0
"orthotrichum affine",1000,1000,1000,100,500,0,0,0,100,1000,100,500,100,0,0,0,100,0
"plagiomnium affine",0,0,0,0,100,0,100,500,0,0,0,0,0,0,0,0,0,0
"plagiomnium affine cf.",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"plagiomnium undulatum",0,0,500,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0
"plagiothecium laetum",0,4000,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"pleurozium schreberi",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"polytrichum formosum",0,0,100,100,0,0,1000,0,0,100,500,100,1000,1000,0,1000,100,1000
"rhizomnium punctatum",0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0
"rhytidiadelphus squarrosus",0,0,0,2000,0,0,1000,100,0,0,0,0,0,0,0,0,2000,0
"scapania nemorosa cf.",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"scleropodium purum",0,0,0,500,0,0,1000,2000,0,0,0,0,0,1000,0,0,1000,0
"thuidium tamariscinum",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ulota crispa",100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"x",100,0,0,0,100,0,0,0,100,1000,0,0,0,0,0,0,0,0
